query_num,query_file,mechanism,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,0.05,N/A,42,27,TVD,,0,,,0.4039,0.5552,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,0.1,N/A,42,27,TVD,,0,,,0.2429,0.4462,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,0.5,N/A,42,27,TVD,,1,,,0.0707,0.1607,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,1.0,N/A,42,27,TVD,,1,,,0.0441,0.0952,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,inf,N/A,42,27,TVD,,1,,,0.0,0.0,
8,persona_web_category_usage_analysis.csv,laplace,mini,0.01,N/A,42,11,TVD,,0,,,0.5575,0.8068,
8,persona_web_category_usage_analysis.csv,laplace,mini,0.05,N/A,42,11,TVD,,0,,,0.4392,0.776,
8,persona_web_category_usage_analysis.csv,laplace,mini,0.1,N/A,42,11,TVD,,0,,,0.3804,0.759,
8,persona_web_category_usage_analysis.csv,laplace,mini,0.5,N/A,42,11,TVD,,0,,,0.2227,0.5779,
8,persona_web_category_usage_analysis.csv,laplace,mini,1.0,N/A,42,11,TVD,,0,,,0.1701,0.5768,
8,persona_web_category_usage_analysis.csv,laplace,mini,inf,N/A,42,11,TVD,,1,,,0.0,0.0,
9,package_power_by_country.csv,laplace,mini,0.01,N/A,42,51,RE,1.0,0,,,,,
9,package_power_by_country.csv,laplace,mini,0.05,N/A,42,51,RE,0.5762,0,,,,,
9,package_power_by_country.csv,laplace,mini,0.1,N/A,42,51,RE,0.2881,0,,,,,
9,package_power_by_country.csv,laplace,mini,0.5,N/A,42,51,RE,0.0576,1,,,,,
9,package_power_by_country.csv,laplace,mini,1.0,N/A,42,51,RE,0.0288,1,,,,,
9,package_power_by_country.csv,laplace,mini,inf,N/A,42,51,RE,0.0,1,,,,,
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,0.01,N/A,42,3,TVD,,0,,,,,0.1975
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,0.05,N/A,42,3,TVD,,1,,,,,0.0835
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,0.1,N/A,42,3,TVD,,1,,,,,0.0485
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,0.5,N/A,42,3,TVD,,1,,,,,0.0111
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,1.0,N/A,42,3,TVD,,1,,,,,0.0057
10,popular_browsers_by_count_usage_percentage.csv,laplace,mini,inf,N/A,42,3,TVD,,1,,,,,0.0
11,ram_utilization_histogram.csv,laplace,mini,0.01,N/A,42,20,TVD,,0,,,,,0.5106
11,ram_utilization_histogram.csv,laplace,mini,0.05,N/A,42,20,TVD,,0,,,,,0.3288
11,ram_utilization_histogram.csv,laplace,mini,0.1,N/A,42,20,TVD,,0,,,,,0.2086
11,ram_utilization_histogram.csv,laplace,mini,0.5,N/A,42,20,TVD,,1,,,,,0.0432
11,ram_utilization_histogram.csv,laplace,mini,1.0,N/A,42,20,TVD,,1,,,,,0.0217
11,ram_utilization_histogram.csv,laplace,mini,inf,N/A,42,20,TVD,,1,,,,,0.0
12,ranked_process_classifications.csv,laplace,mini,0.01,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,mini,0.05,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,mini,0.1,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,mini,0.5,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,mini,1.0,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,mini,inf,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
