query_num,query_file,mechanism,variant,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,0.1,1e-06,44,11,RE,1.0,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,0.5,1e-06,45,11,RE,0.8455,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,1.0,1e-06,46,11,RE,0.5699,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,inf,1e-06,47,11,RE,0.0,1,,,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,0.01,1e-06,42,51,SPEARMAN,,0,0.1999,0.1597,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,0.05,1e-06,43,51,SPEARMAN,,0,0.1072,0.4538,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,0.1,1e-06,44,51,SPEARMAN,,0,-0.1395,0.3289,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,0.5,1e-06,45,51,SPEARMAN,,0,0.373,0.007,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,1.0,1e-06,46,51,SPEARMAN,,0,-0.0171,0.9052,,,
6,most_popular_browser_in_each_country.csv,gaussian,advance,mini,inf,1e-06,47,51,SPEARMAN,,0,0.0069,0.9619,,,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,0.01,1e-06,42,27,TVD,,0,,,0.6739,0.8292,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,0.05,1e-06,43,27,TVD,,0,,,0.5934,0.7746,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,0.1,1e-06,44,27,TVD,,0,,,0.6316,0.794,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,0.5,1e-06,45,27,TVD,,0,,,0.5938,0.6482,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,1.0,1e-06,46,27,TVD,,0,,,0.5279,0.6902,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,advance,mini,inf,1e-06,47,27,TVD,,1,,,0.0,0.0,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,0.01,1e-06,42,11,TVD,,0,,,0.5845,0.8555,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,0.05,1e-06,43,11,TVD,,0,,,0.5812,0.8226,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,0.1,1e-06,44,11,TVD,,0,,,0.5691,0.7881,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,0.5,1e-06,45,11,TVD,,0,,,0.5622,0.9052,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,1.0,1e-06,46,11,TVD,,0,,,0.5515,0.8306,
8,persona_web_category_usage_analysis.csv,gaussian,advance,mini,inf,1e-06,47,11,TVD,,1,,,0.0,0.0,
9,package_power_by_country.csv,gaussian,advance,mini,0.01,1e-06,42,51,RE,1.0,0,,,,,
9,package_power_by_country.csv,gaussian,advance,mini,0.05,1e-06,43,51,RE,1.0,0,,,,,
9,package_power_by_country.csv,gaussian,advance,mini,0.1,1e-06,44,51,RE,1.0,0,,,,,
9,package_power_by_country.csv,gaussian,advance,mini,0.5,1e-06,45,51,RE,0.2818,0,,,,,
9,package_power_by_country.csv,gaussian,advance,mini,1.0,1e-06,46,51,RE,0.1424,1,,,,,
9,package_power_by_country.csv,gaussian,advance,mini,inf,1e-06,47,51,RE,0.0,1,,,,,
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,0.01,1e-06,42,3,TVD,,0,,,,,0.2186
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,0.05,1e-06,43,3,TVD,,0,,,,,0.4555
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,0.1,1e-06,44,3,TVD,,0,,,,,0.267
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,0.5,1e-06,45,3,TVD,,1,,,,,0.067
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,1.0,1e-06,46,3,TVD,,1,,,,,0.0465
10,popular_browsers_by_count_usage_percentage.csv,gaussian,advance,mini,inf,1e-06,47,3,TVD,,1,,,,,0.0
11,ram_utilization_histogram.csv,gaussian,advance,mini,0.01,1e-06,42,20,TVD,,0,,,,,0.5633
11,ram_utilization_histogram.csv,gaussian,advance,mini,0.05,1e-06,43,20,TVD,,0,,,,,0.4634
11,ram_utilization_histogram.csv,gaussian,advance,mini,0.1,1e-06,44,20,TVD,,0,,,,,0.3843
11,ram_utilization_histogram.csv,gaussian,advance,mini,0.5,1e-06,45,20,TVD,,0,,,,,0.1518
11,ram_utilization_histogram.csv,gaussian,advance,mini,1.0,1e-06,46,20,TVD,,1,,,,,0.0729
11,ram_utilization_histogram.csv,gaussian,advance,mini,inf,1e-06,47,20,TVD,,1,,,,,0.0
12,ranked_process_classifications.csv,gaussian,advance,mini,0.01,1e-06,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,gaussian,advance,mini,0.05,1e-06,43,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,gaussian,advance,mini,0.1,1e-06,44,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,gaussian,advance,mini,0.5,1e-06,45,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,gaussian,advance,mini,1.0,1e-06,46,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,gaussian,advance,mini,inf,1e-06,47,5,SPEARMAN,,0,0.0,1.0,,,
