query_num,query_file,mechanism,variant,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,inf,N/A,47,27,TVD,,1,,,0.0,0.0,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,0.01,N/A,42,11,TVD,,0,,,0.6069,0.8907,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,0.05,N/A,43,11,TVD,,0,,,0.6122,0.7905,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,0.1,N/A,44,11,TVD,,0,,,0.6198,0.8365,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,0.5,N/A,45,11,TVD,,0,,,0.5361,0.75,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,1.0,N/A,46,11,TVD,,0,,,0.524,0.8287,
8,persona_web_category_usage_analysis.csv,laplace,advance,mini,inf,N/A,47,11,TVD,,1,,,0.0,0.0,
9,package_power_by_country.csv,laplace,advance,mini,0.01,N/A,42,51,RE,1.0,0,,,,,
9,package_power_by_country.csv,laplace,advance,mini,0.05,N/A,43,51,RE,0.5439,0,,,,,
9,package_power_by_country.csv,laplace,advance,mini,0.1,N/A,44,51,RE,0.2964,0,,,,,
9,package_power_by_country.csv,laplace,advance,mini,0.5,N/A,45,51,RE,0.0606,1,,,,,
9,package_power_by_country.csv,laplace,advance,mini,1.0,N/A,46,51,RE,0.0222,1,,,,,
9,package_power_by_country.csv,laplace,advance,mini,inf,N/A,47,51,RE,0.0,1,,,,,
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,0.01,N/A,42,3,TVD,,0,,,,,0.1975
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,0.05,N/A,43,3,TVD,,0,,,,,0.7649
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,0.1,N/A,44,3,TVD,,1,,,,,0.1402
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,0.5,N/A,45,3,TVD,,1,,,,,0.003
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,1.0,N/A,46,3,TVD,,1,,,,,0.0177
10,popular_browsers_by_count_usage_percentage.csv,laplace,advance,mini,inf,N/A,47,3,TVD,,1,,,,,0.0
11,ram_utilization_histogram.csv,laplace,advance,mini,0.01,N/A,42,20,TVD,,0,,,,,0.5106
11,ram_utilization_histogram.csv,laplace,advance,mini,0.05,N/A,43,20,TVD,,0,,,,,0.3749
11,ram_utilization_histogram.csv,laplace,advance,mini,0.1,N/A,44,20,TVD,,0,,,,,0.2182
11,ram_utilization_histogram.csv,laplace,advance,mini,0.5,N/A,45,20,TVD,,1,,,,,0.0469
11,ram_utilization_histogram.csv,laplace,advance,mini,1.0,N/A,46,20,TVD,,1,,,,,0.0257
11,ram_utilization_histogram.csv,laplace,advance,mini,inf,N/A,47,20,TVD,,1,,,,,0.0
12,ranked_process_classifications.csv,laplace,advance,mini,0.01,N/A,42,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,advance,mini,0.05,N/A,43,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,advance,mini,0.1,N/A,44,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,advance,mini,0.5,N/A,45,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,advance,mini,1.0,N/A,46,5,SPEARMAN,,0,0.0,1.0,,,
12,ranked_process_classifications.csv,laplace,advance,mini,inf,N/A,47,5,SPEARMAN,,0,0.0,1.0,,,
